timestamp,device_uuid,vaz,vbz,vcz,ia,ib,ic,kwa,kwb,kwc,kvara,kvarb,kvarc,pfa,pfb,pfc,vay,vby,vcy,vaz_ang,vbz_ang,vcz_ang,vay_ang,vby_ang,vcy_ang,ia_ang,ib_ang,ic_ang,,,,,,,,,,,,,
2025-01-30 15:31:38+00,add18211-8fb9-4362-af7e-6fcb39131869,7343.678223,7323.140625,7287.645996,0.30232338,0.276083221,0.32593277,1.778543472,1.500530243,-1.298303246,-1.32887876,-1.355016232,-1.989064217,0.801085938,0.742176819,0.546588928,7401.898926,7395.356934,7272.788086,NULL,-119.9142188,120.7288379,0.722451706,-119.424375,121.3063965,36.76607422,-77.83139648,-116.1378516,,,,,,,,,,,,,
2025-01-30 15:31:43+00,add18211-8fb9-4362-af7e-6fcb39131869,7344.512695,7322.46875,7292.141602,0.30556303,0.26868782,0.32212429,1.761369586,1.488511205,-1.284931898,-1.390705943,-1.286555886,-1.966376901,0.784850037,0.756565613,0.547017883,7402.753906,7394.841309,7277.135254,NULL,-119.9622656,120.7323242,0.721356506,-119.4781641,121.3075488,38.29318848,-79.12462891,-116.1050098,,,,,,,,,,,,,
2025-01-30 15:31:48+00,add18211-8fb9-4362-af7e-6fcb39131869,7344.512695,7322.46875,7292.141602,0.30556303,0.26868782,0.32212429,1.761369586,1.488511205,-1.284931898,-1.390705943,-1.286555886,-1.966376901,0.784850037,0.756565613,0.547017883,7402.753906,7394.841309,7277.135254,NULL,-119.9622656,120.7323242,0.721356506,-119.4781641,121.3075488,38.29318848,-79.12462891,-116.1050098,,,,,,,,,,,,,
2025-01-30 15:31:53+00,add18211-8fb9-4362-af7e-6fcb39131869,7336.53125,7312.805176,7281.364258,0.301451492,0.274885426,0.322626839,1.748414874,1.511214137,-1.31221962,-1.354347229,-1.325545192,-1.948498964,0.790562683,0.751779114,0.55859021,7394.458008,7385.058594,7266.599609,NULL,-119.9460156,120.6946387,0.722916718,-119.4598535,121.2698047,37.761875,-78.69074707,-115.347002,,,,,,,,,,,,,
2025-01-30 15:31:58+00,add18211-8fb9-4362-af7e-6fcb39131869,7336.53125,7312.805176,7281.364258,0.301451492,0.274885426,0.322626839,1.748414874,1.511214137,-1.31221962,-1.354347229,-1.325545192,-1.948498964,0.790562683,0.751779114,0.55859021,7394.458008,7385.058594,7266.599609,NULL,-119.9460156,120.6946387,0.722916718,-119.4598535,121.2698047,37.761875,-78.69074707,-115.347002,,,,,,,,,,,,,
2025-01-30 15:32:03+00,add18211-8fb9-4362-af7e-6fcb39131869,7335.884766,7329.925293,7271.584961,0.311768246,0.28346735,0.330099068,1.820217252,1.58870554,-1.332329631,-1.384780407,-1.339120865,-1.996633768,0.795864014,0.764611511,0.555057922,7393.814941,7402.573242,7256.654297,NULL,-119.5354492,120.8800195,0.723471146,-119.0484375,121.4564355,37.26306152,-79.40789063,-115.4052734,,,,,,,,,,,,,
2025-01-30 15:32:08+00,add18211-8fb9-4362-af7e-6fcb39131869,7335.884766,7329.925293,7271.584961,0.311768246,0.28346735,0.330099068,1.820217252,1.58870554,-1.332329631,-1.384780407,-1.339120865,-1.996633768,0.795864014,0.764611511,0.555057922,7393.814941,7402.573242,7256.654297,NULL,-119.5354492,120.8800195,0.723471146,-119.0484375,121.4564355,37.26306152,-79.40789063,-115.4052734,,,,,,,,,,,,,
2025-01-30 15:32:13+00,add18211-8fb9-4362-af7e-6fcb39131869,7332.313477,7333.358887,7265.716309,0.304148655,0.266350155,0.329867134,1.768942237,1.472715259,-1.270152211,-1.358031154,-1.283067107,-2.032482624,0.793207336,0.753985352,0.529954102,7391.091797,7405.862305,7250.68457,NULL,-119.4388184,121.0290527,0.72096138,-118.9519043,121.6049805,37.51374023,-78.37560547,-116.9685938,,,,,,,,,,,,,
2025-01-30 15:32:18+00,add18211-8fb9-4362-af7e-6fcb39131869,7332.313477,7333.358887,7265.716309,0.304148655,0.266350155,0.329867134,1.768942237,1.472715259,-1.270152211,-1.358031154,-1.283067107,-2.032482624,0.793207336,0.753985352,0.529954102,7391.091797,7405.862305,7250.68457,NULL,-119.4388184,121.0290527,0.72096138,-118.9519043,121.6049805,37.51374023,-78.37560547,-116.9685938,,,,,,,,,,,,,
2025-01-30 15:32:23+00,add18211-8fb9-4362-af7e-6fcb39131869,7334.169922,7336.345215,7269.719238,0.328204193,0.297337227,0.316722946,1.962080836,1.8092345,-1.097393394,-1.394415617,-1.218621731,-2.024147511,0.815120483,0.829403442,0.476612244,7392.803711,7409.143066,7254.711426,NULL,-119.505166,120.9770703,0.722167511,-119.0181055,121.5543457,35.4007251,-85.54267578,-120.5585547,,,,,,,,,,,,,
2025-01-30 15:32:28+00,add18211-8fb9-4362-af7e-6fcb39131869,7334.169922,7336.345215,7269.719238,0.328204193,0.297337227,0.316722946,1.962080836,1.8092345,-1.097393394,-1.394415617,-1.218621731,-2.024147511,0.815120483,0.829403442,0.476612244,7392.803711,7409.143066,7254.711426,NULL,-119.505166,120.9770703,0.722167511,-119.0181055,121.5543457,35.4007251,-85.54267578,-120.5585547,,,,,,,,,,,,,
2025-01-30 15:32:33+00,add18211-8fb9-4362-af7e-6fcb39131869,7344.730957,7334.003418,7271.64502,0.322496719,0.279389057,0.326069908,1.925239325,1.667604089,-1.27552247,-1.379842281,-1.190656304,-1.998746991,0.812799683,0.813846436,0.537953491,7402.890137,7406.678223,7256.681152,NULL,-119.5844434,120.8218164,0.723237228,-119.0974316,121.3976953,35.62962646,-84.05790039,-116.63375,,,,,,,,,,,,,
2025-01-30 15:32:38+00,add18211-8fb9-4362-af7e-6fcb39131869,7344.730957,7334.003418,7271.64502,0.322496719,0.279389057,0.326069908,1.925239325,1.667604089,-1.27552247,-1.379842281,-1.190656304,-1.998746991,0.812799683,0.813846436,0.537953491,7402.890137,7406.678223,7256.681152,NULL,-119.5844434,120.8218164,0.723237228,-119.0974316,121.3976953,35.62962646,-84.05790039,-116.63375,,,,,,,,,,,,,
2025-01-30 15:32:43+00,add18211-8fb9-4362-af7e-6fcb39131869,7336.729492,7318.860352,7263.45752,2.547423859,2.534365082,2.141224365,18.42905617,18.40599632,15.26093483,-3.110794306,-2.296139002,-2.998353481,0.986050964,0.992308411,0.981240662,7394.999512,7391.541016,7248.519043,NULL,-119.7681543,120.7099023,0.722631836,-119.2807715,121.2856641,9.581116333,-112.6572656,131.8253613,,,,,,,,,,,,,
2025-01-30 15:32:48+00,add18211-8fb9-4362-af7e-6fcb39131869,7336.729492,7318.860352,7263.45752,2.547423859,2.534365082,2.141224365,18.42905617,18.40599632,15.26093483,-3.110794306,-2.296139002,-2.998353481,0.986050964,0.992308411,0.981240662,7394.999512,7391.541016,7248.519043,NULL,-119.7681543,120.7099023,0.722631836,-119.2807715,121.2856641,9.581116333,-112.6572656,131.8253613,,,,,,,,,,,,,
2025-01-30 15:32:53+00,add18211-8fb9-4362-af7e-6fcb39131869,7345.057129,7331.599121,7270.978516,2.576651306,2.550504761,2.156994324,18.68236351,18.56017876,15.38544083,-3.024829865,-2.276569843,-3.042879343,0.98714502,0.992561218,0.980997925,7403.737305,7404.270508,7256.165527,NULL,-119.6416992,120.7,0.723287888,-119.1567383,121.2758301,9.196853638,-112.6487988,131.8873828,,,,,,,,,,,,,
2025-01-30 15:32:58+00,add18211-8fb9-4362-af7e-6fcb39131869,7345.057129,7331.599121,7270.978516,2.576651306,2.550504761,2.156994324,18.68236351,18.56017876,15.38544083,-3.024829865,-2.276569843,-3.042879343,0.98714502,0.992561218,0.980997925,7403.737305,7404.270508,7256.165527,NULL,-119.6416992,120.7,0.723287888,-119.1567383,121.2758301,9.196853638,-112.6487988,131.8873828,,,,,,,,,,,,,
